topic,top_words
0,"daftar, error, nikah, email, sertifikat, sulit, login, suruh, wajib, elsimil"
1,"muter, masuk, error, siga_mobile, suruh, parah, android, sulit, bolak, min"
2,"susah, data, jelek, store, verval, buka, masuk, daftar, tulis, arah_play"
3,"masuk, susah, update, pas, ulang, loading, data, login, server_aktif, gagal"
4,"buka, error, muncul, solusi, isi_data, upgrade, instal, input, susah, log"
5,"update, ribet, data, playstore, mudah, elsimil, download, masuk, selesai, login"
6,"masuk, data, cepat, server, error, gagal, login, hambat, sulit, susah"
7,"buka, update, mental, versi, suruh_update, masuk, download, baharu, pas, arah"
