topic,topic_label,keywords,jumlah_ulasan,persentase
0,Kegagalan Akses Awal & Pembukaan Aplikasi,"buka, aplikasi, masuk, baik, tolong, tolong baik, kali, aplikasi buka, play, store",882,28.8
1,Masalah Pendaftaran & Login Pengguna,"daftar, aplikasi, apk, ya, eror, bikin, sulit, susah, login, pakai",736,24.04
2,Update Loop & Ketergantungan Play Store,"update, aplikasi, baru, suruh, buka, playstore, siga, masuk, download, versi",582,19.01
3,Hambatan Penggunaan & Kinerja Aplikasi,"aplikasi, ya, data, aplikasi ya, hp, kerja, susah, banget, jelek, buka",862,28.15
