rating,review_text,steming_data,has_complaint_term
5,Tolong bantu untuk masuk log in ke apk siga mobile ke versi Hp lama agar pendataan verval cepat selesai.,tolong bantu masuk log apk siga mobile versi hp data verval cepat selesai,True
5,tidak bisa di buka,buka,True
5,mohon bisa kah aku buka aplikasinya,mohon kah buka aplikasi,True
4,tidak bisa dibuka,buka,True
4,gk bisa di buka,buka,True
4,sejak ganti nama dan update susah masuknya,ganti nama update susah masuk,True
5,aplikasi ini sangat membantu dalam pendataan balikan Ibu hamil dan catin,aplikasi bantu data balik hamil catin,True
4,aplikasi kurang bagus krna tidak masuk padahal email dan sandi sdah benar,aplikasi bagus masuk email sandi,True
5,sudah menginstal ulang tapi tidak bisa d buka malam balik lagi,menginstal ulang buka malam,True
5,sangat mudah kalo server nya bagus,mudah server ya bagus,True
4,untuk update terakhir tidak bisa masuk langsung tutup aplikasi mungkin dengan alasan sistem IU hp ada minimalnya. mohon untuk diperbaiki soalnya kami yang ada di pedesaan dengan spesifikasi mengah kebawah merasa kesulitan untuk menyesuaikan tipe hp,update masuk langsung tutup aplikasi alas sistem hp minimal mohon baik desa spesifikasi mengah bawah sulit sesuai tipe hp,True
5,"sangat tidak bagus. ketika kita buka aplikasinya, membal. langsung kembali sendiri.",bagus buka aplikasi membal langsung,True
4,aplikasi tidak bisa dibuka,aplikasi buka,True
5,kadang bisa dibuka kadang engga.,kadang buka kadang,True
4,apl nya ga bisa di buka,apl ya buka,True
5,"kok gak bisa masuk ke aplikasi nya ,mental terus",masuk aplikasi ya mental,True
5,banyak orang yg TDK bisa login disiga mobile aplagi yg blum tau mnggkn aplikasi ini,orang login disiga mobile aplagi tau mnggkn aplikasi,True
4,sya SDH brpa kali uninstall aplikasi ini dan download ulang tapi Mash tetap sja tdk bsa msk dlm aplikasi,kali uninstall aplikasi download ulang mash masuk aplikasi,True
5,email/id tpk nya dan kata sandinya salah dan gagal terus,emailid tpk ya sandi salah gagal,True
5,tolong versi terbaru d turunkan biar hp speak android 13 kebawah masih bisa buka aplikasi siga,tolong versi baru turun biar hp speak android bawah buka aplikasi siga,True
5,"aplikasi ini sangattt bagus dan membantu kami ,,,,tapi ada sisi lain dari aplikasi ini yang mana sangat sulit untuk dibuka kembali stelah bbrap bulan ini faakum karna kami hrs mngerjakn TPK,,,mohon untuk sgra diperbaiki server ataupun segala keprlun untuk memudahkan kmi untuk msuk ke aplikasi ini,,,",aplikasi bagus bantu sisi aplikasi sulit buka bbrap faakum mngerjakn tpkmohon sgra baik server keprlun mudah masuk aplikasi,True
5,sesudah instal ulang mau loading langsung ilang,instal ulang loading langsung hilang,True
4,"setelah update aplikasi malah gak bisa di buka dan terpental,, gmn solusinya???",update aplikasi buka pental solusi,True
4,"sudah aplikasi terbaru, awalnya setiap mau masuk selalu mental tidak bisa, giliran diinstal ulang malah gak bisa login..dnegan catatan id&sandi salah.. gimana ini admin? 😌😌",aplikasi baru masuk mental gilir diinstal ulang logindnegan catat idsandi salah admin,True
5,"Kenapa aplikasi ny jd gak bisa di buka ggal terus blik lg blik lg udh d unstal d play store trus"""" n angr g bisa d buka",aplikasi nya buka ggal unstal play store n angr buka,True
5,di arahkn untuk update aplikasi tpi sdah di tekan ok..selalu gagal update knpa ya..?,arahkn update aplikasi tekan okselalu gagal update ya,True
4,kenapa aplikasi nya mental2 terus ya. tolong perbaiki,aplikasi ya mental ya tolong baik,True
5,kenapa pas dibuka sistemnya Ndak bisa masuk ya ... tolong dong min,pas buka sistem indak masuk ya tolong min,True
5,"Setelah upgrade versi terbaru tidak bisa dibuka dan mental ,mohon solusinya min",upgrade versi baru buka mental mohon solusi min,True
5,"coba aku kasih bintang ful sispa tau bisa di bukak,",coba kasih bintang ful sispa tau buka,True
5,"sudah meng install ulang tp sewaktu mau buka, loading dan menghilang ,km meng input tdk bisa Krn setiap mau buka loading trs.gmn mau selesai input verval ,loading mulu,mendingan aplikasi yg dulu .mlh yg baru bikin pusing .. loading mulu.",meng install ulang buka loading hilang meng input buka loading trsgmn selesai input verval loading mulumendingan aplikasi bikin pusing loading mulu,True
5,tidak bisa di buka aplikasinya,buka aplikasi,True
5,saya mau nanya kenapa hp Oppo a1k tidak bisa membuka aplikasi ini mohon untuk perbaikan karna saya mau ada tugas di aplikasi ini🙏,hp oppo buka aplikasi mohon baik tugas aplikasi,True
5,knp ya susah di buka,ya susah buka,True
5,bagus aplikasinya tapi sulit masuk,bagus aplikasi sulit masuk,True
4,mohon info knp aplikasinya mental klau di buka kluar sendiri padahal sdah update versi terbaru,mohon info aplikasi mental buka update versi baru,True
4,"tidak bisa digunakan, saat masuk aplikasi ny Mlah terpental, knp ya ko tiba tiba terpental klo mau masuk,saya kasih Bintang 4 biar terbaca",masuk aplikasi nya pental ya pental masuksaya kasih bintang biar baca,True
4,kenapa Tidak Bisa Masuk Ke Aplikasi Siga Mobile?,masuk aplikasi siga mobile,True
5,apakah aplikasi eror,aplikasi eror,True
4,"aplikasi siga mobile , ko saya ga bisa buka kenapa ya...biasanya tiap bulan lancar ko dari kemaren g bisa di buka, ada yang salahkah, mohon pencerahaY",aplikasi siga mobile buka yabiasanya lancar kemarin buka salah mohon pencerahay,True
5,aduh gmn ini ga bisa login,aduh login,True
5,app TDK bisa di buka,app buka,True
5,"apk tidak bisa dibuka,setiap dibuka lansung membal,mohon dibantu",apk dibukasetiap buka lansung membalmohon bantu,True
4,hadech udah update malah nggak bisa di buka udah hapus download,hadech update buka hapus download,True
4,banyak keluhan dari kader kami bahwasanyya suka berhenti sendiri atau pas di buka apk nya suka kembali lagi apa versi android minimal berapa,keluh kader bahwasanyya suka henti pas buka apk ya suka versi android minimal,True
5,sering eror nya ni aplikasi,eror ya nih aplikasi,True
5,"info dari TPK, banyak setelah update per 2 September. banyak macet aplikasi dan sering keluar terpental ketika login. mohon dicariin solusinya min",info tpk update september macet aplikasi pental login mohon dicariin solusi min,True
5,kenapa pas dibuka...terus balik..Sama sekali tidak bisa dibuka,pas dibukaterus baliksama buka,True
4,"aplikasi nya loading mulu ,",aplikasi ya loading mulu,True
4,Aplikasi ini sering kali sering mengalami gangguan sistem ketika dilakukan verval sering eror,aplikasi kali alami ganggu sistem verval eror,True
5,aplikasi nya selalu kembali sebelum update,aplikasi ya update,True
5,aplikasi sllu eror,aplikasi eror,True
4,knapa sekarang aplikasinya tidak di buka,knapa aplikasi buka,True
4,dibuka selalu kembali keplyaistor,buka keplyaistor,True
5,"cape bolak balik update Mulu udh gitu sering eror, padahal kerjaan lagi numpak verval",capek bolak update mulu eror kerja numpak verval,True
5,ga bisa buka aplikasi ny,buka aplikasi nya,True
5,"Tidak bisa dibuka aplikasinya padahal sudah unistal baru instal lgi,tetap berputar putar memuat data 🥲🥲",buka aplikasi unistal instal lgitetap putar putar muat data,True
5,"sudah di update terbaru malah ga bisa di buka sama sekali, gimana kumaha ieu? sok ath Min enggal di perbaiki",update baru buka maha ieu sok ath min enggal baik,True
5,kok tidak bisa d buka,buka,True
5,"permisi apknya kok kek troble ya, ini ga bisa unduh sertifikatnya kk, gagal trs mau di unduh, klo loginnya bisa cm unduhnya yang belum bisa",permisi apknya kayak troble ya unduh sertifikat kakak gagal unduh loginnya unduh,True
4,gak sengaja log out akirnya susah log in..gimana solusinya min..udah instal ulang udah restart hp masih sama..padahal id dan password udah bener,sengaja log out akirnya susah log ingimana solusi mudah instal ulang restart hp samapadahal id password,True
5,maaf sya blm bsa masuk,maaf masuk,True
5,Gagal login terus.. Kenapa ya?,gagal login ya,True
4,kenapa ya aplikasi ini saya. install eh. malah muter aja. ga. bisa masuk. lagi,ya aplikasi install eh muter masuk,True
4,"aplikasinya sangat membantu dibandingkan dengan versi sebelumnya hanya kadang bermasalah sehingga proses pengimputan terganggu, harapan nya agar aplikasinya lebih gampang dalam penginputan dan tidak terjadi kendala lagi",aplikasi bantu banding versi kadang masalah proses kimput ganggu harap ya aplikasi gampang penginputan kendala,True
4,sering update dan sedikit bingung,update bingung,True
5,"udh brpa kali di coba tdak bisa,tiap masuk apk di arahkan ke play store lagi,,apk eror trus",kali coba bisatiap masuk apk arah play store lagiapk eror,True
5,mudah. tapi masih kadang ada bug sistem nya. suka nge blank. tiba2 kluar sendiri. atau kadang gak mau kebuka..,mudah kadang bug sistem ya suka nge blank kadang buka,True
4,siga mobile saya k tidak bisa d buka ya?k mnt dperbarui,siga mobile buka ya dperbarui,True
5,"Wah...alhamdulillah..apk elsimil V3 ini semoga lbh mantap krn ketika dicoba lebih gampang digunakan,jd lbh mendukung saat input data,semoga gda error ketika unduh sertifikat nya nti,trims",wahalhamdulillahapk elsimil v moga mantap coba gampang digunakanjd dukung input datasemoga error unduh sertifikat ya ntitrims,True
5,susah,susah,True
5,knapa sih susah banget dibuka y ada pembaruan trus tapi gak bisa diperbaharui,knapa sih susah banget buka ya baru baharu,True
4,masih baru buka aplikasi ni,buka aplikasi nih,True
4,"sudah update applikasi tetapi saat mau input sering muncul permintaan ""buka"" sangat menggangu sekali",update aplikasi input muncul minta buka menggangu,True
5,semoga aplikasinya tidak pernah eror,moga aplikasi eror,True
5,"sangat bagus 2 aplikasi di jadikan satu.semoga sukses selalu,semoga dengan di perbarui tidak eror lagi",bagus aplikasi jadi satusemoga sukses selalusemoga baru eror,True
5,blum bisa dibuka,buka,True
5,mau masuk lagi tak bisa,masuk,True
4,aplikasi ya sering eror,aplikasi ya eror,True
5,"sangat sulit digunakan,, selalu gagal dan tertulis Application Exception,,, mohon perhatiannya, elsimil dan verval KRS 2025, tiap hari di kejar target, tapi dilapangan aplikasi siga mobile tidak bisa digunakan",sulit gagal tulis application exception mohon perhati elsimil verval krs kejar target lapang aplikasi siga mobile,True
5,Aplikasi kadang eror,aplikasi kadang eror,True
4,"aplikasi data yang masih perlu diperbaiki lagi, terkadang data yang sudah masuk hilang",aplikasi data baik terkadang data masuk hilang,True
4,kenapa yg sekarang susah dibuka loading mulu.. udah berulang kali di instal ulanh 😮‍💨,susah buka loading mulu ulang kali instal ulanh,True
4,"kenapa tanggal lahirnya harus diketuk ulang aku rasa lebih efisien bila bisa tanggal diketik,mana lagi pas simpan data suka lama,kadang jaringan error",tanggal lahir ketuk ulang efisien tanggal diketikmana pas simpan data suka lamakadang jaring error,True
4,Kenapa server tidak aktif ya?,server aktif ya,True
4,"setelah d update malah eror, bolak balik k playstore",update eror bolak playstore,True
5,"kerjaan susah selesainya.karena apk lemot.sering erorjaringan bagus,pas nyimpan datanya lama,muter terus.bagai mana cepet selesai bahkan ada yang telah tersimpan.tapi pas d buka datanya malah hilang dan harus data ulang 😀",kerja susah selesainyakarena apk lemotsering erorjaringan baguspas nyimpan data lamamuter terusbagai cepat selesai tersimpantapi pas buka data hilang data ulang,True
5,gk bisa dibuka lari ke playstore terus,buka lari playstore,True
4,setelah di upgrade malah gabisa masuk...padahal id dan sandi sudah betul...kalo gabisa masuk gimana kerjanya😑,upgrade masukpadahal id sandi betulkalo masuk kerja,True
5,knp eror trus ya ..,eror ya,True
5,tolong server bersahabatlah biar cepat kelar kerjaan saya,tolong server sahabat biar cepat kelar kerja,True
4,kadang eror,kadang eror,True
5,kenapa harus selalu buka playstore kan dah di unduh,buka playstore unduh,True
5,lalot jaringan bagus.sdh brpakali di coba tida bisa ta buka aplikasi .,lalot jaring bagussdh brpakali coba tida ta buka aplikasi,True
5,"udah di update,tp setiap buka aplikasi selalu suruh update dan ga bisa di buka2",updatetp buka aplikasi suruh update buka,True
5,di buka susah aplikasi siga,buka susah aplikasi siga,True
5,"""aplikasi eror""",aplikasi eror,True
4,sulit,sulit,True
5,sudah di update malah sering keluar2 sendiri abis itu perintah ny update lg gitu aja terus smpe bosan,update habis perintah nya update bosan,True
4,ma'af iya saya kasi bintang 4 dulu soalnya belum dicoba versi barunya,maaf iya kasih bintang coba versi baru,True
4,terkadang sering loading....,terkadang loading,True
4,"ketika digunakan kadangkala lemot, susah berhasil",kadangkala lot susah hasil,True
4,susah login,susah login,True
4,"kenapa tidak lancar dan selalu ,, muter2 servernya",lancar muter servernya,True
4,dibuka aja muter terus...apakah masih ad proses perbaikan?,buka muter terusapakah proses baik,True
5,diminta update taoi sekalu gagal,update taoi sekalu gagal,True
5,"Aplikasi bagus sudah terintegrasi dengan Elsimil, tapi kalau boleh usul apabila pelaksanaan se-Indonesia di mohon untuk di bagi wikayah waktu pelaksanaannya biar tidak selalu eror karena rebutan server, terimakasih",aplikasi bagus integrasi elsimil usul laksana indonesia mohon wikayah laksana biar eror rebut server terimakasih,True
4,gak bisa buka padahal udah di update apa kerena tipe² hp atau aplikasinya lagi bermasalah,buka update rena tipe hp aplikasi masalah,True
4,aplikasi susah di unduh,aplikasi susah unduh,True
5,tidak bisa membukanya,buka,True
5,"loading blm bisa mengerjakan satupun , gimna nih ,terus aja muter",loading satu nih muter,True
4,"susah di buka, kembali ke playstore",susah buka playstore,True
5,"sebenernya aplikasinya sangat membantu, tapi sering muncul update terus",aplikasi bantu muncul update,True
4,"lah di update baru koh, mo ngentry hrs bolak blik ke play store, bikin esmosi",update koh ngentry bolak play store bikin esmosi,True
4,msh sering muncul tulisan pembaruan di playstore,muncul tulis baru playstore,True
4,Semoga bisah membantu untuk penginputan. Tapi mohon bantuannya agar jangan terlalu eror terus jadi susah kami untuk melakukan penginputan. Terimakasihh,moga bisah bantu penginputan mohon bantu eror susah penginputan terimakasihh,True
5,"untuk pendataan verval aman,tetapi untuk masuk ke pendataan elsimil ko makin rumit",data verval amantetapi masuk data elsimil rumit,True
4,"membantu dlm pendataan tp sering error tidak bisa dibuka,",bantu data error buka,True
5,susah log in,susah log,True
4,"maaf saya beri 4 ,mungkin dibutuhkan draft penyimpanan supaya tidak mengulang ulang lagi data yg sudah masuk saat terjadi kegagalan server atau sinyal buruk 🙏 🙏",maaf butuh draft simpan ulang ulang data masuk gagal server sinyal buruk,True
5,eror sulit,eror sulit,True
4,susah di downd load 😁😊,susah downd load,True
4,susah d buka loading,susah buka loading,True
4,lama lama kok g bisa dibuka knp ya,buka ya,True
5,Aplikasi siga muter terus,aplikasi siga muter,True
5,macet,macet,True
