topic,topic_label,keywords,jumlah_ulasan,persentase
0,Penggunaan Dasar Aplikasi (Cukup Berfungsi),"aplikasi, ya, ok, masuk, siga, aplikasi ya, tolong, mobile, kerja, oke",442,27.89
1,Pengalaman Campuran Pasca Pembaruan,"buka, aplikasi, update, susah, muter, baru, ya, kali, playstore, login",295,18.61
2,Manfaat Aplikasi untuk Dukungan Kader & Pendataan,"data, bantu, mudah, aplikasi, mantap, elsimil, error, eror, good, kader",341,21.51
3,Kelancaran Proses & Penyimpanan Data,"bagus, nan, moga, lancar, eror, aplikasi bagus, simpan, kadang, mohon, simpan data",507,31.99
