topic,top_words
0,"bagus, elsimil, mudah, gagal, error, input_data, ulang, layan, erti, cepat"
1,"masuk, catin, siga_mobile, sulit, keluarga, langsung, mental, pusing, bantu, tau"
2,"data, error, update, bantu, siga, playstore, kader, buka, hilang, store"
3,"kadang, login, data, tugas, bantu, masuk, tpk, sinyal, jalan, muter"
4,"buka, moga, versi, update, loading, alhamdulillah, pas, cepat, download, min"
5,"data, mudah, verval, masuk, baduta, kader, arah_playstore, bumil, isi_data, jaring"
6,"buka, susah, muter, masuk, ulang, lancar, update, lot, jaring, arah"
